Choice,Party,,Absentee Votes,Absentee %,,Early Votes,Early %,,Election Day Votes,Election Day %,,Total Votes,Total %,Contest,Precinct,County
YES,,,5,100.00%,,72,63.72%,,73,78.49%,,150,71.09%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE18,Wayne
NO,,,0,0.00%,,41,36.28%,,20,21.51%,,61,28.91%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE18,Wayne
YES,,,5,100.00%,,76,67.86%,,71,73.20%,,152,71.03%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE18,Wayne
NO,,,0,0.00%,,36,32.14%,,26,26.80%,,62,28.97%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE18,Wayne
YES,,,4,80.00%,,82,71.30%,,78,80.41%,,164,75.58%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE18,Wayne
NO,,,1,20.00%,,33,28.70%,,19,19.59%,,53,24.42%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE18,Wayne
YES,,,4,100.00%,,85,73.28%,,70,74.47%,,159,74.30%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE18,Wayne
NO,,,0,0.00%,,31,26.72%,,24,25.53%,,55,25.70%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE18,Wayne
YES,,,2,25.00%,,37,35.24%,,15,39.47%,,54,35.76%,PUBLIC QUESTION #1,WAYNE19,Wayne
NO,,,6,75.00%,,68,64.76%,,23,60.53%,,97,64.24%,PUBLIC QUESTION #1,WAYNE19,Wayne
Republican Party,REP,,1,12.50%,,40,54.79%,,12,38.71%,,53,47.32%,STRAIGHT PARTY,WAYNE19,Wayne
Democratic Party,DEM,,7,87.50%,,33,45.21%,,18,58.06%,,58,51.79%,STRAIGHT PARTY,WAYNE19,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,1,3.23%,,1,0.89%,STRAIGHT PARTY,WAYNE19,Wayne
We the People Party,WTP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,WAYNE19,Wayne
DONALD J. TRUMP JD VANCE,REP,,1,6.25%,,57,42.54%,,23,41.07%,,81,39.32%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,15,93.75%,,76,56.72%,,32,57.14%,,123,59.71%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,0,0.00%,,1,1.79%,,1,0.49%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,1,0.75%,,0,0.00%,,1,0.49%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE19,Wayne
JIM BANKS,REP,,1,6.25%,,56,42.75%,,23,40.35%,,80,39.22%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE19,Wayne
VALERIE MCCRAY,DEM,,15,93.75%,,75,57.25%,,29,50.88%,,119,58.33%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE19,Wayne
ANDREW HORNING,LIB,,0,0.00%,,0,0.00%,,5,8.77%,,5,2.45%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE19,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE19,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE19,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,1,6.25%,,52,39.69%,,18,31.58%,,71,34.80%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE19,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,15,93.75%,,77,58.78%,,32,56.14%,,124,60.78%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE19,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,0,0.00%,,2,1.53%,,7,12.28%,,9,4.41%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE19,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE19,Wayne
TODD ROKITA,REP,,1,6.25%,,56,43.41%,,25,44.64%,,82,40.80%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE19,Wayne
DESTINY WELLS,DEM,,15,93.75%,,73,56.59%,,31,55.36%,,119,59.20%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE19,Wayne
JEFFERSON SHREVE,REP,,2,12.50%,,52,40.00%,,20,35.09%,,74,36.45%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE19,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,14,87.50%,,78,60.00%,,31,54.39%,,123,60.59%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE19,Wayne
JAMES MICHAEL SCENIAK,LIB,,0,0.00%,,0,0.00%,,6,10.53%,,6,2.96%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE19,Wayne
BRADFORD BARRETT,REP,,5,100.00%,,71,100.00%,,29,100.00%,,105,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,WAYNE19,Wayne
RONALD J. (RON) MOORE,REP,,6,100.00%,,81,100.00%,,33,100.00%,,120,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,WAYNE19,Wayne
TARA PEGG,REP,,7,100.00%,,80,100.00%,,30,100.00%,,117,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,WAYNE19,Wayne
BETH FIELDS,REP,,6,100.00%,,79,100.00%,,29,100.00%,,114,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,WAYNE19,Wayne
R. BRENT MEADOWS,REP,,6,100.00%,,78,100.00%,,28,100.00%,,112,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,WAYNE19,Wayne
GORDON E. MOORE,REP,,5,100.00%,,77,100.00%,,28,100.00%,,110,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,WAYNE19,Wayne
AARON ROBERTS,REP,,6,100.00%,,78,100.00%,,27,100.00%,,111,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,WAYNE19,Wayne
JEFF PLASTERER,REP,,5,100.00%,,80,100.00%,,26,100.00%,,111,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,WAYNE19,Wayne
GERALD (GARY) SAUNDERS,REP,,2,25.00%,,44,32.12%,,16,40.00%,,62,33.51%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE19,Wayne
MAX SMITH,REP,,2,25.00%,,42,30.66%,,10,25.00%,,54,29.19%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE19,Wayne
CATHY C. WILLIAMS,REP,,4,50.00%,,51,37.23%,,14,35.00%,,69,37.30%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE19,Wayne
NICOLE STULTS,,,7,100.00%,,71,100.00%,,23,100.00%,,101,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 1 - Vote for One (1) Only,WAYNE19,Wayne
AUSTIN BRANN,,,6,100.00%,,59,100.00%,,22,100.00%,,87,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 2 - Vote for One (1) Only,WAYNE19,Wayne
CATHY HILLARD,,,4,40.00%,,58,49.15%,,17,40.48%,,79,46.47%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),WAYNE19,Wayne
AARON L. STEVENS,,,6,60.00%,,60,50.85%,,25,59.52%,,91,53.53%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),WAYNE19,Wayne
YES,,,3,50.00%,,68,79.07%,,17,50.00%,,88,69.84%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,WAYNE19,Wayne
NO,,,3,50.00%,,18,20.93%,,17,50.00%,,38,30.16%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,WAYNE19,Wayne
YES,,,3,50.00%,,55,69.62%,,17,50.00%,,75,63.03%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE19,Wayne
NO,,,3,50.00%,,24,30.38%,,17,50.00%,,44,36.97%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE19,Wayne
YES,,,3,50.00%,,53,67.95%,,16,47.06%,,72,61.02%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE19,Wayne
NO,,,3,50.00%,,25,32.05%,,18,52.94%,,46,38.98%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE19,Wayne
YES,,,3,50.00%,,59,73.75%,,18,54.55%,,80,67.23%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE19,Wayne
NO,,,3,50.00%,,21,26.25%,,15,45.45%,,39,32.77%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE19,Wayne
YES,,,2,33.33%,,57,71.25%,,17,53.13%,,76,64.41%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE19,Wayne
NO,,,4,66.67%,,23,28.75%,,15,46.88%,,42,35.59%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE19,Wayne
YES,,,2,28.57%,,97,43.50%,,54,53.47%,,153,46.22%,PUBLIC QUESTION #1,WAYNE20,Wayne
NO,,,5,71.43%,,126,56.50%,,47,46.53%,,178,53.78%,PUBLIC QUESTION #1,WAYNE20,Wayne
Republican Party,REP,,3,33.33%,,126,64.95%,,35,52.24%,,164,60.74%,STRAIGHT PARTY,WAYNE20,Wayne
Democratic Party,DEM,,6,66.67%,,65,33.51%,,29,43.28%,,100,37.04%,STRAIGHT PARTY,WAYNE20,Wayne
Libertarian Party,LIB,,0,0.00%,,1,0.52%,,1,1.49%,,2,0.74%,STRAIGHT PARTY,WAYNE20,Wayne
We the People Party,WTP,,0,0.00%,,2,1.03%,,2,2.99%,,4,1.48%,STRAIGHT PARTY,WAYNE20,Wayne
DONALD J. TRUMP JD VANCE,REP,,4,28.57%,,172,59.52%,,76,56.30%,,252,57.53%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,10,71.43%,,114,39.45%,,54,40.00%,,178,40.64%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,1,0.35%,,0,0.00%,,1,0.23%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,2,0.69%,,5,3.70%,,7,1.60%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE20,Wayne
JIM BANKS,REP,,3,21.43%,,167,58.39%,,71,53.38%,,241,55.66%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE20,Wayne
VALERIE MCCRAY,DEM,,10,71.43%,,108,37.76%,,52,39.10%,,170,39.26%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE20,Wayne
ANDREW HORNING,LIB,,1,7.14%,,11,3.85%,,10,7.52%,,22,5.08%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE20,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE20,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE20,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,4,28.57%,,161,56.10%,,62,46.97%,,227,52.42%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE20,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,9,64.29%,,114,39.72%,,56,42.42%,,179,41.34%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE20,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,1,7.14%,,12,4.18%,,14,10.61%,,27,6.24%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE20,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE20,Wayne
TODD ROKITA,REP,,4,28.57%,,173,61.13%,,68,52.31%,,245,57.38%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE20,Wayne
DESTINY WELLS,DEM,,10,71.43%,,110,38.87%,,62,47.69%,,182,42.62%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE20,Wayne
JEFFERSON SHREVE,REP,,3,21.43%,,169,59.30%,,68,51.52%,,240,55.68%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE20,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,10,71.43%,,106,37.19%,,52,39.39%,,168,38.98%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE20,Wayne
JAMES MICHAEL SCENIAK,LIB,,1,7.14%,,10,3.51%,,12,9.09%,,23,5.34%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE20,Wayne
BRADFORD BARRETT,REP,,7,100.00%,,205,100.00%,,86,100.00%,,298,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,WAYNE20,Wayne
RONALD J. (RON) MOORE,REP,,8,100.00%,,212,100.00%,,82,100.00%,,302,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,WAYNE20,Wayne
TARA PEGG,REP,,7,100.00%,,208,100.00%,,83,100.00%,,298,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,WAYNE20,Wayne
BETH FIELDS,REP,,7,100.00%,,205,100.00%,,79,100.00%,,291,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,WAYNE20,Wayne
R. BRENT MEADOWS,REP,,6,100.00%,,205,100.00%,,79,100.00%,,290,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,WAYNE20,Wayne
GORDON E. MOORE,REP,,7,100.00%,,205,100.00%,,80,100.00%,,292,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,WAYNE20,Wayne
AARON ROBERTS,REP,,6,100.00%,,204,100.00%,,75,100.00%,,285,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,WAYNE20,Wayne
JEFF PLASTERER,REP,,6,100.00%,,202,100.00%,,78,100.00%,,286,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,WAYNE20,Wayne
GERALD (GARY) SAUNDERS,REP,,3,27.27%,,114,36.19%,,54,38.03%,,171,36.54%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE20,Wayne
MAX SMITH,REP,,5,45.45%,,91,28.89%,,34,23.94%,,130,27.78%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE20,Wayne
CATHY C. WILLIAMS,REP,,3,27.27%,,110,34.92%,,54,38.03%,,167,35.68%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE20,Wayne
NICOLE STULTS,,,8,100.00%,,161,100.00%,,73,100.00%,,242,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 1 - Vote for One (1) Only,WAYNE20,Wayne
AUSTIN BRANN,,,6,100.00%,,142,100.00%,,64,100.00%,,212,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 2 - Vote for One (1) Only,WAYNE20,Wayne
CATHY HILLARD,,,4,40.00%,,135,50.75%,,67,51.15%,,206,50.61%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),WAYNE20,Wayne
AARON L. STEVENS,,,6,60.00%,,131,49.25%,,64,48.85%,,201,49.39%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),WAYNE20,Wayne
YES,,,5,62.50%,,135,74.59%,,74,77.08%,,214,75.09%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,WAYNE20,Wayne
NO,,,3,37.50%,,46,25.41%,,22,22.92%,,71,24.91%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,WAYNE20,Wayne
YES,,,5,62.50%,,131,73.18%,,60,67.42%,,196,71.01%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE20,Wayne
NO,,,3,37.50%,,48,26.82%,,29,32.58%,,80,28.99%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE20,Wayne
YES,,,4,57.14%,,126,70.39%,,61,69.32%,,191,69.71%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE20,Wayne
NO,,,3,42.86%,,53,29.61%,,27,30.68%,,83,30.29%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE20,Wayne
YES,,,5,71.43%,,138,77.09%,,64,71.11%,,207,75.00%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE20,Wayne
NO,,,2,28.57%,,41,22.91%,,26,28.89%,,69,25.00%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE20,Wayne
YES,,,6,75.00%,,131,75.72%,,62,67.39%,,199,72.89%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE20,Wayne
NO,,,2,25.00%,,42,24.28%,,30,32.61%,,74,27.11%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE20,Wayne
YES,,,5,29.41%,,109,47.39%,,44,51.76%,,158,47.59%,PUBLIC QUESTION #1,WAYNE21,Wayne
NO,,,12,70.59%,,121,52.61%,,41,48.24%,,174,52.41%,PUBLIC QUESTION #1,WAYNE21,Wayne
Republican Party,REP,,8,61.54%,,146,78.92%,,42,59.15%,,196,72.86%,STRAIGHT PARTY,WAYNE21,Wayne
Democratic Party,DEM,,5,38.46%,,38,20.54%,,24,33.80%,,67,24.91%,STRAIGHT PARTY,WAYNE21,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,1,1.41%,,1,0.37%,STRAIGHT PARTY,WAYNE21,Wayne
We the People Party,WTP,,0,0.00%,,1,0.54%,,4,5.63%,,5,1.86%,STRAIGHT PARTY,WAYNE21,Wayne
DONALD J. TRUMP JD VANCE,REP,,11,40.74%,,200,69.44%,,74,59.20%,,285,64.77%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,14,51.85%,,84,29.17%,,45,36.00%,,143,32.50%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,3,1.04%,,1,0.80%,,4,0.91%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,1,0.35%,,5,4.00%,,6,1.36%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE21,Wayne
